method,stage,adapter_eval_mode,layer,module,pretrained_top_k,top_k,epsilon,num_intruders,mean_max_similarity
single_lora,siqa,n/a,8,q_proj,150,150,0.8,0,0.9995269775390625
single_lora,siqa,n/a,8,v_proj,150,150,0.8,2,0.988633930683136
single_lora,siqa,n/a,8,up_proj,150,150,0.8,0,0.9924470782279968
single_lora,siqa,n/a,8,down_proj,150,150,0.8,0,0.9989282488822937
single_lora,siqa,n/a,15,q_proj,150,150,0.8,0,0.9997586011886597
single_lora,siqa,n/a,15,v_proj,150,150,0.8,0,0.9995390772819519
single_lora,siqa,n/a,15,up_proj,150,150,0.8,0,0.999031662940979
single_lora,siqa,n/a,15,down_proj,150,150,0.8,0,0.999821662902832
single_lora,sst2,n/a,0,q_proj,150,150,0.8,0,0.9995622038841248
single_lora,sst2,n/a,0,v_proj,150,150,0.8,0,0.9946640133857727
single_lora,sst2,n/a,0,up_proj,150,150,0.8,0,0.9963973760604858
single_lora,sst2,n/a,0,down_proj,150,150,0.8,0,0.9974442720413208
single_lora,sst2,n/a,8,q_proj,150,150,0.8,0,0.9996693730354309
single_lora,sst2,n/a,8,v_proj,150,150,0.8,0,0.9928361177444458
single_lora,sst2,n/a,8,up_proj,150,150,0.8,0,0.995863676071167
single_lora,sst2,n/a,8,down_proj,150,150,0.8,0,0.999525785446167
single_lora,sst2,n/a,15,q_proj,150,150,0.8,0,0.9998608231544495
single_lora,sst2,n/a,15,v_proj,150,150,0.8,0,0.9997143745422363
single_lora,sst2,n/a,15,up_proj,150,150,0.8,0,0.9989985227584839
single_lora,sst2,n/a,15,down_proj,150,150,0.8,0,0.999786376953125
single_lora,winogrande,n/a,0,q_proj,150,150,0.8,0,0.9989100098609924
single_lora,winogrande,n/a,0,v_proj,150,150,0.8,0,0.9925562739372253
single_lora,winogrande,n/a,0,up_proj,150,150,0.8,0,0.9952846169471741
single_lora,winogrande,n/a,0,down_proj,150,150,0.8,0,0.9973030686378479
single_lora,winogrande,n/a,8,q_proj,150,150,0.8,0,0.9995524287223816
