stage,layer,module,module_path,epsilon,lambda_scale,lambda_options,num_singular_vectors,num_intruders,intruder_fraction,mean_max_similarity,min_max_similarity,correction_frobenius_norm
mnli,15,q_proj,layers.15.self_attn.q_proj,0.7,0.5,"[0.0, 0.5]",2048,11,0.00537109375,0.9652398228645325,0.5693807005882263,0.09904909878969193
mnli,15,v_proj,layers.15.self_attn.v_proj,0.7,0.5,"[0.0, 0.5]",512,0,0.0,0.9982068538665771,0.7857938408851624,0.0
mnli,15,up_proj,layers.15.mlp.up_proj,0.7,0.5,"[0.0, 0.5]",2048,1,0.00048828125,0.9855661392211914,0.6958019733428955,0.49780964851379395
mnli,15,down_proj,layers.15.mlp.down_proj,0.7,0.5,"[0.0, 0.5]",2048,1,0.00048828125,0.9846916794776917,0.6526018977165222,0.5962902307510376
qqp,0,q_proj,layers.0.self_attn.q_proj,0.7,0.5,"[0.0, 0.5]",2048,127,0.06201171875,0.9228230714797974,0.38304147124290466,0.4464564919471741
qqp,0,v_proj,layers.0.self_attn.v_proj,0.7,0.5,"[0.0, 0.5]",512,22,0.04296875,0.9162829518318176,0.5556500554084778,0.5351837873458862
qqp,0,up_proj,layers.0.mlp.up_proj,0.7,0.5,"[0.0, 0.5]",2048,73,0.03564453125,0.9033951759338379,0.5730106234550476,6.045535564422607
qqp,0,down_proj,layers.0.mlp.down_proj,0.7,0.5,"[0.0, 0.5]",2048,134,0.0654296875,0.8819452524185181,0.5575339198112488,8.65196418762207
qqp,1,q_proj,layers.1.self_attn.q_proj,0.7,0.5,"[0.0, 0.5]",2048,173,0.08447265625,0.911113977432251,0.4470919668674469,1.0490093231201172
qqp,1,v_proj,layers.1.self_attn.v_proj,0.7,0.5,"[0.0, 0.5]",512,17,0.033203125,0.9039729833602905,0.5322644114494324,0.8303678631782532
qqp,1,up_proj,layers.1.mlp.up_proj,0.7,0.5,"[0.0, 0.5]",2048,88,0.04296875,0.8950837850570679,0.5680803060531616,6.689151287078857
qqp,1,down_proj,layers.1.mlp.down_proj,0.7,0.5,"[0.0, 0.5]",2048,79,0.03857421875,0.9017415046691895,0.5747516751289368,6.594740390777588
qqp,2,q_proj,layers.2.self_attn.q_proj,0.7,0.5,"[0.0, 0.5]",2048,134,0.0654296875,0.9178397059440613,0.40418770909309387,0.824453592300415
qqp,2,v_proj,layers.2.self_attn.v_proj,0.7,0.5,"[0.0, 0.5]",512,6,0.01171875,0.940995454788208,0.6466842293739319,0.6181073784828186
qqp,2,up_proj,layers.2.mlp.up_proj,0.7,0.5,"[0.0, 0.5]",2048,73,0.03564453125,0.8964892029762268,0.5727412104606628,6.061230659484863
qqp,2,down_proj,layers.2.mlp.down_proj,0.7,0.5,"[0.0, 0.5]",2048,62,0.0302734375,0.9066911339759827,0.5490626096725464,5.146404266357422
qqp,3,q_proj,layers.3.self_attn.q_proj,0.7,0.5,"[0.0, 0.5]",2048,78,0.0380859375,0.9240687489509583,0.5343576073646545,0.9015644192695618
qqp,3,v_proj,layers.3.self_attn.v_proj,0.7,0.5,"[0.0, 0.5]",512,10,0.01953125,0.9447546005249023,0.6605191826820374,0.8808369040489197
qqp,3,up_proj,layers.3.mlp.up_proj,0.7,0.5,"[0.0, 0.5]",2048,123,0.06005859375,0.8850998878479004,0.5504550933837891,7.4453911781311035
qqp,3,down_proj,layers.3.mlp.down_proj,0.7,0.5,"[0.0, 0.5]",2048,80,0.0390625,0.9009788632392883,0.5229280591011047,5.735588073730469
qqp,4,q_proj,layers.4.self_attn.q_proj,0.7,0.5,"[0.0, 0.5]",2048,154,0.0751953125,0.9048023223876953,0.4691612124443054,1.0665613412857056
qqp,4,v_proj,layers.4.self_attn.v_proj,0.7,0.5,"[0.0, 0.5]",512,5,0.009765625,0.9414424300193787,0.6260269284248352,0.5989322662353516
qqp,4,up_proj,layers.4.mlp.up_proj,0.7,0.5,"[0.0, 0.5]",2048,83,0.04052734375,0.8885067701339722,0.5348829627037048,6.167952537536621
qqp,4,down_proj,layers.4.mlp.down_proj,0.7,0.5,"[0.0, 0.5]",2048,93,0.04541015625,0.9003778696060181,0.5403671264648438,6.412449836730957
qqp,5,q_proj,layers.5.self_attn.q_proj,0.7,0.5,"[0.0, 0.5]",2048,319,0.15576171875,0.8765944242477417,0.4068467915058136,1.133427381515503
qqp,5,v_proj,layers.5.self_attn.v_proj,0.7,0.5,"[0.0, 0.5]",512,6,0.01171875,0.9275875091552734,0.6338942646980286,0.5101487636566162
qqp,5,up_proj,layers.5.mlp.up_proj,0.7,0.5,"[0.0, 0.5]",2048,59,0.02880859375,0.9040056467056274,0.5595853924751282,5.082193851470947
qqp,5,down_proj,layers.5.mlp.down_proj,0.7,0.5,"[0.0, 0.5]",2048,60,0.029296875,0.913921594619751,0.5757569074630737,4.954813480377197
qqp,6,q_proj,layers.6.self_attn.q_proj,0.7,0.5,"[0.0, 0.5]",2048,249,0.12158203125,0.883429765701294,0.4188956022262573,1.0262192487716675
qqp,6,v_proj,layers.6.self_attn.v_proj,0.7,0.5,"[0.0, 0.5]",512,3,0.005859375,0.9493021368980408,0.6915776133537292,0.345044881105423
qqp,6,up_proj,layers.6.mlp.up_proj,0.7,0.5,"[0.0, 0.5]",2048,64,0.03125,0.9085028767585754,0.5529888272285461,5.009190082550049
qqp,6,down_proj,layers.6.mlp.down_proj,0.7,0.5,"[0.0, 0.5]",2048,50,0.0244140625,0.9227309226989746,0.5143539905548096,4.196612358093262
qqp,7,q_proj,layers.7.self_attn.q_proj,0.7,0.5,"[0.0, 0.5]",2048,271,0.13232421875,0.8835885524749756,0.39844125509262085,1.0835654735565186
qqp,7,v_proj,layers.7.self_attn.v_proj,0.7,0.5,"[0.0, 0.5]",512,2,0.00390625,0.9683234691619873,0.6318850517272949,0.26276299357414246
